"Time, s","IAS, km/h","Propeller efficiency, %"
0.0,0,0
1.0,0,0
2.0,0,0
3.0,1,0
4.0,9,2
5.1,21,6
6.1,33,8
7.2,43,11
8.2,54,14
9.2,64,16
10.3,75,19
11.3,86,22
12.3,96,25
13.3,106,28
14.3,116,31
15.3,128,34
16.3,140,37
17.3,151,41
18.3,162,45
19.3,173,49
20.3,184,53
21.4,196,58
22.4,207,62
23.5,218,65
24.5,229,68
25.5,241,70
26.5,254,72
27.5,266,74
28.5,278,75
29.5,290,76
30.5,301,77
31.5,312,78
32.5,322,79
33.5,332,79
34.5,341,80
35.5,347,80
36.5,351,80
37.6,354,80
38.5,355,81
39.5,357,81
40.6,358,81
41.6,360,81
42.6,361,81
43.6,362,81
44.6,363,81
45.6,365,81
46.6,369,81
47.6,373,82
48.6,378,82
49.6,383,82
50.6,389,82
51.6,395,82
52.6,400,82
53.6,404,82
54.6,407,82
55.7,408,82
56.7,410,83
57.7,410,83
58.7,408,82
59.7,405,82
60.7,401,82
61.8,396,82
62.8,390,82
63.8,384,81
64.8,377,81
65.8,369,81
66.8,365,80
67.8,364,80
0.0,355,80
1.0,355,80
2.0,354,80
3.0,353,80
4.0,352,80
5.1,350,79
6.1,347,79
7.1,343,79
8.1,337,79
9.1,331,78
10.1,324,78
11.1,317,78
12.1,310,77
13.1,301,76
14.1,292,76
15.2,282,75
16.2,271,74
17.2,259,72
18.2,247,70
19.2,234,68
20.2,220,65
21.2,206,61
22.2,193,57
23.2,180,51
24.3,171,49
25.3,170,48
26.3,175,49
27.3,184,53
28.3,196,58
29.3,208,63
30.3,224,67
31.4,239,70
32.4,256,72
33.4,273,75
34.4,292,76
35.4,314,78
36.4,336,79
37.4,362,80
38.4,390,81
39.4,421,82
40.4,455,83
41.4,488,82
42.4,524,82
43.4,561,82
44.4,595,81
45.4,626,80
46.5,656,78
47.5,682,76
48.5,703,74
49.5,717,73
50.5,728,73
51.5,734,72
52.5,735,72
53.5,732,72
54.5,729,72
55.5,726,73
56.5,722,73
57.5,712,75
58.5,699,75
59.5,682,76
60.5,664,78
61.6,644,78
62.6,624,80
63.6,605,81
64.6,586,82
65.6,569,82
66.6,551,83
67.6,534,83
68.6,517,83
69.6,500,83
70.7,481,83
71.7,465,83
72.7,448,83
73.7,433,83
74.7,417,82
75.7,402,82
76.7,387,81
77.7,371,81
78.7,357,80
79.8,343,80
80.8,329,79
81.8,316,78
82.8,303,77
83.8,291,76
84.8,280,75
85.8,269,74
86.8,258,73
87.9,247,71
88.9,237,70
89.9,227,68
90.9,218,66
91.9,209,63
92.9,201,61
93.9,192,58
95.0,183,55
95.9,174,52
97.0,165,49
98.1,153,46
99.1,142,43
100.1,131,39
101.1,120,36
102.1,111,33
103.1,105,30
104.1,100,29
105.1,99,28
106.1,101,29
107.2,107,31
108.2,117,34
109.2,128,38
110.2,141,42
111.2,158,46
112.2,174,52
113.2,191,59
114.2,209,64
115.2,227,69
116.3,246,72
117.3,264,74
118.3,282,76
119.3,299,77
120.3,316,79
121.3,332,79
122.3,349,81
123.3,360,80
124.3,362,80
125.3,361,81
126.3,347,80
127.3,329,82
128.3,305,78
129.3,282,76
130.4,260,74
131.4,237,70
132.4,215,66
133.4,192,59
134.4,169,50
135.4,146,42
136.4,123,35
137.4,100,28
138.4,78,22
139.4,56,16
140.4,36,10
141.4,20,6
142.4,19,7
143.4,44,14
144.5,84,23
145.5,121,33
146.5,156,45
147.5,194,61
148.5,224,70
149.5,251,73
150.5,275,77
151.5,302,76
152.5,326,80
153.5,354,82
154.6,387,79
155.6,423,83
156.6,456,83
157.6,490,83
158.6,524,82
159.6,558,81
160.6,591,81
161.6,624,79
162.6,657,77
163.6,689,75
164.6,718,73
165.7,745,70
166.7,770,68
167.7,792,65
168.7,806,64
169.7,811,61
170.7,820,62
171.7,819,60
